auth,affil
Aini Hyytiäinen,"Department of Oral and Maxillofacial Diseases, Helsinki, Finland"
Akira I. Hida,"Department of Pathology, Matsuyama Shimin Hospital, Matsuyama, Japan."
Akira I. Hida,"Department of Pathology, Matsuyama Shimin Hospital, Ehime, Japan"
Alastair Thompson,"Surgical Oncology, Baylor College of Medicine, Texas, USA."
Alex Lefevre,"Roche Diagnostics, Belgium"
Alexander J. Lazar,"Departments of Pathology, Genomic Medicine, Dermatology, and Translational Molecular Pathology, The University of Texas MD Anderson Cancer Center, Houston, TX, USA"
Allen Gown,"PhenoPath Laboratories, Seattle, USA."
Amy Lo,"Research Pathology, Genentech Inc., South San Francisco, USA."
Ana Sapino,"University of Turin / Candiolo Cancer Institute - FPO, IRCCS, Candiolo, Italy"
Anant Madabhushi,"Case Western Reserve University, Cleveland, Ohio, USA"
Anant Madabhushi,"Louis Stokes Cleveland Veterans Health Administration Medical Center, Cleveland, Ohio, USA"
Andre Moreira,"Pulmonary Pathology, New York University Center for Biospecimen Research and Development, New York University, New York, New York, USA."
Andrea Richardson,"Department of Pathology, Johns Hopkins Hospital, Baltimore, USA."
Andrea Vingiani,"Department of Pathology, Istituto Europeo di Oncologia, University of Milan, Milan, Italy."
Andrew H. Beck,"PathAI, Inc., Cambridge, USA"
Andrew M. Bellizzi,"Department of Pathology, University of Iowa Hospitals and Clinics, Iowa City, USA."
Andrew Tutt,"Breast Cancer Now Toby Robins Research Centre, The Institute of Cancer Research, London, UK"
Angel Guerrero,"Department of Oncology, IVO Valencia, Spain."
Anita Grigoriadis,"Cancer Bioinformatics Lab, Cancer Centre at Guy’s Hospital, London, UK"
Anita Grigoriadis,"School of Life Sciences and Medicine, King’s College London, London, UK"
Anna Ehinger,"Lund University, Skane University Hospital, Department of Clinical Sciences Lund, Oncology and Pathology, Lund, Sweden"
Anna Garrido Castro,"Dana Farber Cancer Institute, Boston, USA."
Anne Vincent-Salomon,"Institut Curie, Paris Sciences Lettres Université, Inserm U934, Department of Pathology, Paris, France."
Anne-Vibeke Laenkholm,"Department of Surgical Pathology Zealand University Hospital, Demark"
Ashish Sharma,"Department of Biomedical Informatics, Emory University, GA, USA"
Ashley Cimino-Mathews,"Departments of Pathology and Oncology, The Johns Hopkins Hospital, Baltimore, USA."
Ashok Srinivasan,"National Surgical Adjuvant Breast and Bowel Project Operations Center/NRG Oncology, Pittsburgh, Pennsylvania, USA."
Balazs Acs,"Department of Pathology, Karolinska Institute, Sweden"
Baljit Singh,"Department of Pathology, New York University Langone Medical Centre, New York, USA."
Benjamin Calhoun,"Department of Pathology and Laboratory Medicine, UNC School of Medicine, USA."
Benjamin Haibe-Kans,"Bioinformatics and Computational Genomics Laboratory, Princess Margaret Cancer Center, Toronto, Canada."
Benjamin Solomon,"Department of Medical Oncology, Peter MacCallum Cancer Centre, Melbourne, Australia."
Bibhusal Thapa,"Department of Medicine, University of Melbourne, Parkville, Australia."
Brad H. Nelson,"Trev & Joyce Deeley Research Centre, British Columbia Cancer Agency, Victoria, Canada."
Brandon D. Gallas,"Division of Imaging, Diagnostics, and Software Reliability (DIDSR), Office of Science and Engineering Laboratories (OSEL), Center for Devices and Radiological Health (CDRH), Rockville, USA"
Carlos Castaneda,"Department of Research, Instituto Nacional de Enfermedades Neoplásicas, Lima, Perú."
Carlos Castaneda,"Department of Research, Instituto Nacional de Enfermedades Neoplasicas, Lima 15038, Peru"
Carmen Ballesteroes-Merino,"Providence Cancer Research Center, Portland, Oregon, USA."
Carmen Criscitiello,"Department of Medical Oncology, Istituto Europeo di Oncologia, Milan, Italy."
Carolien Boeckx,"Roche Diagnostics, Belgium."
Carsten Denkert,"University of Marburg, Marburg, Germany"
Cecile Colpaert,"Department of Pathology, AZ Turnhout, Turnhout, Belgium."
Cecily Quinn,"Department of Pathology, St Vincent's University Hospital and University College Dublin, Dublin, Ireland"
Chakra S. Chennubhotla,"Department of Computational and Systems Biology, University of Pittsburgh, USA."
Charles Swanton,"Cancer Research UK Lung Cancer Centre of Excellence, University College London Cancer Institute, University College London, London, UK"
Christos Sotiriou,"Institut Jules Bordet, Universite Libre de Bruxelles, Brussels, Belgium"
Cinzia Solinas,"Azienda AUSL, Regional Hospital of Aosta, Aosta, Italy"
Crispin Hiley,"Cancer Research UK Lung Cancer Centre of Excellence, University College London Cancer Institute, University College London, London, UK"
Damien Drubay,"Gustave Roussy, Universite Paris-Saclay, Villejuif, France"
Damien Drubay,"Université Paris-Sud, Institut National de la Santé et de la Recherche Médicale, Villejuif, France"
Daniel Bethmann,"University Hospital Halle (Saale), Institute of Pathology, Halle (Saale), Germany"
David A. Moore,"Department of Pathology, UCL Cancer Institute, UCL, London, UK"
David A. Moore,"University College Hospitals NHS Trust, London, UK."
David L. Rimm,"Department of Pathology, Yale University School of Medicine, New Haven, USA"
Deborah A. Dillon,"Department of Pathology, Brigham and Women’s Hospital, Boston, MA Department of Pathology, Dana Farber Cancer Institute, Boston, MA"
Denis Larsimont,"Department of Pathology, Jules Bordet Institute, Brussels, Belgium"
Dhanusha Sabanathan,"Department of Clinical Medicine, Macquarie University, Sydney, Australia"
Dieter Peeters,"HistoGeneX NV, Antwerp, Belgium and AZ Sint-Maarten Hospital, Mechelen, Belgium."
Dimitrios Zardavas,"Oncology Clinical Development, Bristol-Myers Squibb, Princeton, USA."
Doris Höflmayer,"Institut für Pathologie , UK Hamburg, Germany."
Douglas B. Johnson,"Department of Medicine, Vanderbilt University Medical Centre, Nashville, USA."
E. Aubrey Thompson,"Department of Cancer Biology, Mayo Clinic, Jacksonville, USA."
Edi Brogi,"Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY, USA"
Edith Perez,"Department of Oncology, Mayo Clinic, Rochester, USA."
Ehab A. ElGabry,"Roche, Tucson, USA"
Elisabeth Specht Stovgaard,"Department of Pathology, Herlev and Gentofte Hospital, Denmark"
Elizabeth F. Blackley,"Department of Medical Oncology, Peter MacCallum Cancer Centre, Melbourne, VIC, Australia."
Elvire Roblin,"Université Paris-Saclay, Univ. Paris-Sud, Villejuif, France"
Elvire Roblin,"Service de biostatistique et d’épidémiologie, Gustave Roussy, Villejuif, France"
Emily Reisenbichler,"Department of Pathology, Yale School of Medicine, New Haven, USA"
Enrique Bellolio,"Department of Pathology, Universidad de La Frontera, Temuco, Chile."
Enrique Bellolio,"Departamento de Anatomía Patológica, Universidad de La Frontera. Temuco, Chile"
Eva Balslev,"Department of Pathology, Herlev and Gentofte Hospital, Denmark"
Ewa Chmielik,"Tumor Pathology Department, Maria Sklodowska-Curie Memorial Cancer Center, Gliwice, Poland."
Fabien Gaire,"Pathology and Tissue Analytics, Roche."
Fabrice Andre,"Department of Medical Oncology, Gustave Roussy, Villejuif, France."
Fang-I Lu,"Sunnybrook Health Sciences Centre, Toronto, Canada"
Farid Azmoudeh-Ardalan,"Tehran University of Medical Sciences, Iran."
Federico Rojo,"Pathology Department, Instituto de Investigación Sanitaria Fundación Jiménez Díaz (IIS-FJD), Madrid, Spain"
Federico Rojo,"GEICAM-Spanish Breast Cancer Research Group, Madrid, Spain"
Forbius Tina Gruosso,"Translational Research, Montreal, Canada."
Francesco Ciompi,"Computational Pathology Group, Department of Pathology, Radboud University Medical Center, Nijmegen, Netherlands."
Franklin Peale,"Oncology Biomarker Development, Genentech-Roche."
W. Fraser Symmans,"Department of Pathology, University of Texas M.D. Anderson Cancer Center, Houston, USA"
Fred R. Hirsch,"Division of Medical Oncology, Department of Medicine, University of Colorado Anschutz Medical Campus, Aurora, USA."
Frederick Klaushen,"Institute of Pathology, Charité Universitätsmedizin Berlin, Berlin, Germany"
Frédérique Penault-Llorca,"Centre de Lutte Contre le cancer - Centre Jean Perrin, Clermont-Ferrand, France"
Gabriela Acosta-Haab,"Department of Pathology, Hospital de Oncología Maria Curie, Buenos Aires, Argentina"
Gelareh Farshid,"Directorate of Surgical Pathology, SA Pathology, Adelaide, Australia."
Gert van den Eynden,"Department of Pathology, GZA-ZNA Hospitals, Wilrijk, Belgium."
Giancarlo Pruneri,"Fondazione Istituto di Ricovero e Cura a Carattere Scientifico–Isituto Nazionale dei Tumori, Universita degli Studi di Milano, Milan, Italy"
Giuseppe Curigliano,"University of Milano, Istituto Europeo di Oncologia, IRCCS, Milano, Italy"
Giuseppe Curigliano,"Division of Early Drug Development for Innovative Therapy, IEO, European Institute of Oncology IRCCS, Milan, Italy"
Giuseppe Floris,"Department of Imaging and Pathology, Laboratory of Translational Cell & Tissue Research, Leuven, Belgium"
Giuseppe Floris,"KU Leuven- University Hospitals Leuven, Department of Pathology, Leuven, Belgium"
Giuseppe Viale,"Department of Pathology, Istituto Europeo di Oncologia, University of Milan, Milan, Italy"
Glenn Broeckx,"Department of Pathology, University Hospital Antwerp, Belgium."
Paula Gonzalez-Ericsson,"Breast Cancer Research Program, Vanderbilt University Medical Center, Nashville, USA."
Harmut Koeppen,"Research Pathology, Genentech Inc., South San Francisco, USA."
Harry R. Haynes,"Translational Health Sciences, Department of Cellular Pathology, North Bristol NHS Trust, University of Bristol, UK"
Heather McArthur,"Medical Oncology, Department of Medicine, Cedars-Sinai Medical Center, Los Angeles, USA"
Heikki Joensuu,"Helsinki University Central Hospital, Helsinki, Finland"
Helena Olofsson,"Department of Clinical Pathology, Akademiska University Hospital, Uppsala, Sweden"
Huang-Chun Lien,"Department of Pathology, National Taiwan University Hospital, Taipei, Taiwan"
Hugo M. Horlings,"Division of Molecular Pathology, The Netherlands Cancer Institute, Amsterdam, The Netherlands"
Hugo M. Horlings,"Department of Pathology, The Netherlands Cancer Institute, Amsterdam, The Netherlands"
I-Chun Chen,"Department of Oncology, National Taiwan University Cancer Center, Taipei, Taiwan"
I-Chun Chen,"Graduate Institute of Oncology, College of Medicine, National Taiwan University, Taipei, Taiwan)"
Ian Cree,"International Agency for Research on Cancer (IARC), World Health Organization, Lyon, France."
Iris Nederlof,"Division of Tumor Biology & Immunology, The Netherlands Cancer Institute, Amsterdam, The Netherlands"
Isabel Frahm,"Department of Pathology, Sanatorio Mater Dei, Buenos Aires, Argentina."
Iva Brcic,"Institute of Pathology, Medical University of Graz, Austria."
Jack Chan,"Department of Oncology, National Cancer Centre, Singapore."
Jacqueline A. Hall,"Vivactiv Ltd, Bellingdon, Bucks, UK."
James Ziai,"Research Pathology, Genentech Inc., South San Francisco, USA."
Jan Hudeček,"Department of Research IT, The Netherlands Cancer Institute, Amsterdam, The Netherlands"
Jane Brock,"Department of Pathology, Brigham and Women’s Hospital, Boston, USA."
Jelle Wesseling,"Department of Pathology, Netherlands Cancer Institute, Amsterdam, The Netherlands."
Jennifer Giltnane,"Research Pathology, Genentech Inc., South San Francisco, USA."
Jennifer K. Kerner,"PathAI Inc., Cambridge, USA"
Jeppe Thagaard,"DTU Compute, Department of Applied Mathematics, Technical University of Denmark"
Jeppe Thagaard,"Visiopharm A/S, Denmark"
Jeremy P. Braybrooke,"Nuffield Department of Population Health, University of Oxford, Oxford, UK"
Jeremy P. Braybrooke,"Department of Medical Oncology, University Hospitals Bristol NHS Foundation Trust, Bristol, UK"
Jeroen A.W.M. van der Laak,"Computational Pathology Group, Department of Pathology, Radboud University Medical Center, Nijmegen, Netherlands"
Jerome Lemonnier,"R&D UNICANCER, Paris, France"
Jiping Zha,"Translational Sciences, MedImmune, Gaithersberg, USA."
Joana Ribeiro,"Breast Unit, Champalimaud Clinical Centre, Lisboa, Portugal"
Jochen K. Lennerz,"Department of Pathology, Massachusetts General Hospital, Boston, MA, USA"
Jodi M. Carter,"Department of Laboratory Medicine and Pathology, Mayo Clinic, Rochester, USA."
Joel Saltz,"Biomedical Informatics Department, Stony Brook University, Stony Brook, USA"
Johan Hartman,"Department of Oncology and Pathology, Karolinska Institutet and University Hospital, Solna, Sweden"
Johannes Hainfellner,"Department of Medicine, Clinical Division of Oncology, Comprehensive Cancer Centre Vienna, Medical University of Vienna, Vienna, Austria."
John M.S. Bartlett,"Ontario Institute for Cancer Research, Toronto, Canada"
John M.S. Bartlett,"IGGM Edinburgh, UK"
John Le Quesne,"Leicester Cancer Research Centre, University of Leicester, Leicester, and MRC Toxicology Unit, University of Cambridge, UK."
Jonathon W. Juco,"Merck & Co., Inc., Kenilworth, USA."
Jorge Reis-Filho,"Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY, USA"
Jorge Reis-Filho,"Human Oncology and Pathogenesis Program, Memorial Sloan Kettering Cancer Center, New York, NY, USA"
Jose van den Berg,"Department of Pathology, The Netherlands Cancer Institute, Amsterdam, The Netherlands"
Joselyn Sanchez,"Department of Research, Instituto Nacional de Enfermedades Neoplasicas, Lima 15038, Peru."
Joseph Sparano,"Department of Medicine, Department of Obstetrics & Gynecology and Women’s Health, Albert Einstein Medical Center, Bronx, USA."
Joël Cucherousset,"GHI Le Raincy-Montfermeil, Chelles, Île-de-France, France"
Juan Carlos Araya,"Department of Pathology, Universidad de la Frontera, Temuco, Chile"
Julien Adam,"Department of Pathology, Gustave Roussy, Grand Paris, France."
Justin M. Balko,"Departments of Medicine and Cancer Biology, Vanderbilt University Medical Centre, Nashville, USA."
Kai Saeger,"Vm Scope, Germany."
Kalliopi Siziopikou,"Department of Pathology, Breast Pathology Section, Northwestern University, Chicago, USA."
Karen Willard-Gallo,"Molecular Immunology Unit, Institut Jules Bordet, Brussels, Belgium."
Karolina Sikorska,"Department of Biometrics, The Netherlands Cancer Institute, Amsterdam, The Netherlands"
Karsten Weber,"German Breast Group, Neu-Isenburg, Germany."
Katherine L. Pogue-Geile,"NSABP/NRG Oncology, Pittsburgh, PA, USA"
Keith E. Steele,"Translational Sciences, MedImmune, Gaithersberg, USA."
Kenneth Emancipator,"Merck & Co., Inc., Kenilworth, USA."
Khalid AbdulJabbar,"Division of Molecular Pathology, Centre for Evolution and Cancer, The Institute of Cancer Research, London, UK"
Khalid El Bairi,"Cancer Biomarkers Working Group, Faculty of Medicine and Pharmacy, Université Mohamed Premier, Oujda, Morocco."
Kim R.M. Blenman,"Yale Cancer Center Genetics, Genomics and Epigenetics Program, Yale School of Medicine, New Haven, CT , USA"
Kimberly H. Allison,"Pathology Department, Stanford University Medical Centre, Stanford, USA."
Koen K. van de Vijver,"Department of Pathology, University Hospital Ghent, Belgium."
Konstanty Korski,"Pathology and Tissue Analytics, Roche Innovation Centre Munich, Penzberg, Germany"
Lajos Pusztai,"Yale Cancer Center Genetics, Genomics and Epigenetics Program, Yale School of Medicine, New Haven, CT , USA"
Laura Comerma,"Pathology Department, Hospital del Mar, Parc de Salut Mar, Barcelona, Spain"
Laura Comerma,"GEICAM-Spanish Breast Cancer Research Group, Madrid, Spain"
Laurence Buisseret,"Molecular Immunology Unit, Institut Jules Bordet, Université Libre de Bruxelles, Brussels, Belgium."
Lee A.D. Cooper,"Department of Pathology, Northwestern University Feinberg School of Medicine, Chicago, IL"
Leming Shi,"Center for Pharmacogenomics and Fudan-Zhangjiang, Center for Clinical Genomics School of Life Sciences and Shanghai Cancer Center, Fudan University, China."
Leonie Voorwerk,"Division of Tumor Biology & Immunology, The Netherlands Cancer Institute, Amsterdam, The Netherlands"
Liu Shi-wei,"Sichuan Cancer Hospital, Chengdu, China."
Loes F.S. Kooreman,"GROW - School for Oncology and Developmental Biology, Maastricht University Medical Centre and Department of Pathology, Maastricht University Medical Centre, Maastricht, The Netherlands"
Luciana Molinero,"Oncology Biomarker Development, Genentech-Roche."
M. Valeria Estrada,"Biorepository and Tissue Technology Shared Resources, University of California San Diego, USA."
Maartje van Seijen,"Division of Molecular Pathology, The Netherlands Cancer Institute, Amsterdam, The Netherlands"
Magali Lacroix-Triki,"Department of Pathology, Gustave Roussy, Villejuif, France."
Maggie C.U. Cheang,"Institute of Cancer Research Clinical Trials and Statistics Unit, The Institute of Cancer Research, Surrey, UK"
Maise al Bakir,"Cancer Research UK Lung Cancer Centre of Excellence, University College London Cancer Institute, University College London, London, UK"
Manu M. Sebastian,"Departments of Epigenetics and Molecular Carcinogenesis, The University of Texas MD Anderson Cancer Center, Houston, TX, USA"
Marcelo Luiz Balancin,"Department of Pathology, University of São Paulo, São Paulo, Brazil."
Marcelo Luiz Balancin,"Hospital das Clínicas, Sao Paulo, Brasil"
Maria Vittoria Dieci,"Department of Surgery, Oncology and Gastroenterology, University of Padova, Padua, Italy."
Marie-Christine Mathieu,"Department of Medical Biology and Pathology, Gustave Roussy Cancer Campus, Villejuif, France"
Marc van de Vijver,"Department of Pathology, Academic Medical Center, Amsterdam, The Netherlands."
Marleen Kok,"Division of Molecular Oncology & Immunology, The Netherlands Cancer Institute, Amsterdam, the Netherlands"
Marleen Kok,"Department of Medical Oncology, The Netherlands Cancer Institute, Amsterdam, the Netherlands"
Marlon C. Rebelatto,"Translational Sciences, MedImmune, Gaithersberg, USA."
Martine Piccart,"Institut Jules Bordet, Universite Libre de Bruxelles, Brussels, Belgium"
Matthew G. Hanna,"Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY, USA"
Matthew P. Goetz,"Department of Oncology, Mayo Clinic, Rochester, USA."
Matthias Preusser,"Department of Medicine, Clinical Division of Oncology, Comprehensive Cancer Centre Vienna, Medical University of Vienna, Vienna, Austria."
Mehrnoush Khojasteh,"Roche Tissue Diagnostics, Digital Pathology, Santa Clara, CA, USA"
Melinda E. Sanders,"Department of Pathology, Microbiology and Immunology, Vanderbilt University Medical Centre, Nashville, USA."
Meredith M. Regan,"Division of Biostatistics, Dana-Farber Cancer Institute, Boston, USA"
Meredith M. Regan,"Harvard Medical School, Boston, USA"
Michael Barnes,"Roche Diagnostics Information Solutions, Belmont, CA, USA"
Michael Christie,"Department of Anatomical Pathology, Royal Melbourne Hospital, Parkville, Australia."
Michael Misialek,"Vernon Cancer Center, Newton-Wellesley Hospital, Newton, USA."
Michail Ignatiadis,"Department of Medical Oncology, Institut Jules Bordet, Université Libre de Bruxelles, Brussels, Belgium."
Michiel de Maaker,"Division of Molecular Pathology, The Netherlands Cancer Institute, Amsterdam, The Netherlands"
Mieke van Bockstal,"Service de pathologique, Cliniques universitaires Saint-Luc, Bruxelles, Belgique"
Miluska Castillo,"Department of Research, Instituto Nacional de Enfermedades Neoplasicas, Lima 15038, Peru"
Mohamed Amgad,"Department of Biomedical Informatics, Emory University School of Medicine, Atlanta, GA"
Nadia Harbeck,"Breast Center, Dept. OB&GYN and CCC (LMU), University of Munich, Munich, Germany."
Nadine Tung,"Division of Hematology-Oncology, Beth Israel Deaconess Medical Center, Boston, USA."
Nele Laudus,"University of Leuven, Belgium."
Nicolas Sirtaine,"Department of Pathology, Institut Jules Bordet, Université Libre de Bruxelles, Brussels, Belgium."
Nicole Burchardi,"German Breast Group GmbH, Germany."
Nils Ternes,"Service de Biostatistique et d’Epidémiologie, Gustave Roussy, CESP, Université-Paris Sud, Université Paris-Saclay, Villejuif, France."
Nina Radosevic-Robin,"Department of Surgical Pathology and Biopathology, Jean Perrin Comprehensive Cancer Centre, Clermont-Ferrand, France."
Oleg Gluz,"Johanniter GmbH - Evangelisches Krankenhaus Bethesda Mönchengladbach, West German Study Group, Mönchengladbach, Germany."
Oliver Grimm,"Pathology and Tissue Analytics, Roche."
Paolo Nuciforo,"Molecular Oncology Group, Vall d’Hebron Institute of Oncology, Barcelona, Spain."
Paul Jank,"Department of Pathology, University of Marburg, Marburg, Germany."
Paula Gonzalez-Ericsson,"Breast Cancer Program, Vanderbilt-Ingram Cancer Center, Vanderbilt University Medical Center, Nashville, Tennessee"
Pawan Kirtani,"Department of Histopathology, Manipal Hospitals Dwarka, New Delhi, India"
Peter H. Watson,"Department of Pathology and Laboratory Medicine, University of British Columbia,"
Petar Jelinic,"Merck & Co., Inc., Kenilworth, USA."
Peter Savas,"Division of Research and Cancer Medicine, Peter MacCallum Cancer Centre, University of Melbourne, Victoria, Australia"
Peter Savas,"The Sir Peter MacCallum Department of Oncology, University of Melbourne, Melbourne, Victoria, Australia"
Prudence A Francis,"Peter MacCallum Cancer Centre, Melbourne, Australia"
Prudence A Francis,"Sir Peter MacCallum Department of Oncology, University of Melbourne, Parkville, Australia"
Prudence A. Russell,"Department of Anatomical Pathology, St Vincent’s Hospital Melbourne, Fitzroy, Australia."
Rajendra Singh,"Icahn School of Medicine at Mt. Sinai, New York, NY, USA."
Rim S. Kim,"NRG Oncology/NSABP, Pittsburgh, PA, USA"
Robert H. Pierce,"Cancer Immunotherapy Trials Network, Central Laboratory and Program in Immunology, Fred Hutchinson Cancer Research Center, Seattle, USA."
Robert Hills,"Clinical Trial Service Unit & Epidemiological Studies Unit, University of Oxford, UK."
Roberto Leon-Ferre,"Department of Oncology, Mayo Clinic, Rochester, USA."
Roberto Salgado,"Division of Research, Peter MacCallum Cancer Centre, University of Melbourne, Victoria, Australia"
Roberto Salgado,"Department of Pathology, GZA-ZNA Hospitals, Antwerp, Belgium"
Roland de Wind,"Department of Pathology, Institut Jules Bordet, Brussels, Belgium."
Ruohong Shui,"Department of Pathology, Fudan University Cancer Center, China."
Sabine Declercq,"Department of Pathology, GZA-ZNA Hospitals, Antwerp, Belgium"
Sam Leung,"University of British Columbia, Vancouver, British Columbia, Canada."
Sami Tabbarah,"Department of Radiation Oncology, Odette Cancer Centre, Sunnybrook Research Institute, Toronto, Canada"
Sandra C Souza,"Oncology Merck & Co, New Jersey, USA"
Sandra Demaria,"Department of Pathology, Weill-Cornell Medicine, New York, USA"
Sandra O’Toole,"The Cancer Research Program, Garvan Institute of Medical Research, Darlinghurst, Australian Clinical Labs, Australia."
Sandra Swain,"Georgetown University Medical Center, Washington DC, USA."
Sarah Dudgeon,"FDA/CDRH/OSEL/Division of Imaging, Diagnostics, and Software Reliability, Silver Spring, USA"
Scooter Willis,"Department of Molecular and Experimental Medicine, Avera Cancer Institute, Sioux Falls, SD, USA."
Scott Ely,"Translational Medicine, Bristol-Myers Squibb, Princeton, USA."
Seong- Rim Kim,"National Surgical Adjuvant Breast and Bowel Project Operations Center/NRG Oncology, Pittsburgh, USA"
Shahinaz Bedri,"Anatomic Pathology, Boston, Massachusetts, USA."
Sheeba Irshad,"Guy’s Hospital, London, UK"
Sheeba Irshad,"King’s College London, London, UK"
Sherene Loi,"Peter MacCallum Cancer Centre, Melbourne, Australia"
Sherene Loi,"Sir Peter MacCallum Department of Oncology, University of Melbourne, Parkville, Australia"
Shi-Wei Liu,"Peking University First Hospital Breast Disease Center, Beijing, China."
Shom Goel,"Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia"
Shom Goel,"Sir Peter MacCallum Department of Oncology, University of Melbourne, Melbourne, Victoria, Australia"
Shona Hendry,"Department of Pathology, Peter MacCallum Cancer Centre, Melbourne, Australia."
Simonetta Bianchi,"Dipartimento di Scienze della Salute (DSS), Firenze, Italy."
Sofia Bragança,"Department of Oncology, Champalimaud Clinical Centre, Lisbon, Portugal."
Soonmyung Paik,"National Surgical Adjuvant Breast and Bowel Project Operations Center/NRG Oncology, Pittsburgh, Pennsylvania, USA."
Stefan Michiels,"Gustave Roussy, Université Paris-Saclay, Villejuif, France"
Stefan Michiels,"Université Paris-Sud, Institut National de la Santé et de la Recherche Médicale, Villejuif, France"
Stephan Wienert,"Charité - Universitätsmedizin Berlin, corporate member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Institute of Pathology, Charitéplatz 1, 10117 Berlin, Germany"
Stephen B. Fox,"Department of Pathology, Peter MacCallum Cancer Centre, Melbourne, Australia."
Stephen M. Hewitt,"Experimental Pathology Laboratory, Laboratory of Pathology, Center for Cancer Research, National Cancer Institute, NIH, Bethesda, USA"
Stephen J. Luen,"Division of Research and Cancer Medicine, Peter MacCallum Cancer Centre, University of Melbourne, Victoria, Australia"
Stephen Naber,"Department of Pathology and Laboratory Medicine, Tufts Medical Center, USA"
Stuart J. Schnitt,"Department of Pathology, Brigham and Women's Hospital, Boston, MA, USA"
Stuart J. Schnitt,"Dana-Farber Cancer Institute, Boston, MA, USA."
Sua Luz,"Department of Pathology, Fundación Valle del Lili, Cali, Colombia."
Sunil S. Badve,"Department of Pathology, Indiana University, Indianapolis, USA"
Sunil R. Lakhani,"The University of Queensland Centre for Clinical Research and Pathology Queensland, Brisbane, Australia"
Susan Fineberg,"Department of Pathology, Montefiore Medical Center and the Albert Einstein College of Medicine, Bronx, NY, USA"
Sibylle Loibl,"German Breast Group, c/o GBG-Forschungs GmbH, Neu-Isenburg, Germany"
Sylvia Adams,"Perlmutter Cancer Center, New York University Medical School, New York, USA."
Teresa Soler,"Department of Pathology, University Hospital of Bellvitge, Oncobell, IDIBELL, L'Hospitalet del Llobregat, Barcelona 08908, Catalonia, Spain"
Thomas Gevaert,"Department of Development and Regeneration, Laboratory of Experimental Urology, KU Leuven, Leuven, Belgium."
Timothy d’Alfons,"Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY, USA."
Tom John,"Department of Medical Oncology, Austin Health, Heidelberg, Australia."
Tomohagu Sugie,"Department of Surgery, Kansai Medical School, Hirakata, Japan."
Torsten O. Nielsen,"Genetic Pathology Evaluation Centre, Department of Pathology and Laboratory Medicine, University of British Columbia, Vancouver, Canada"
Uday Kurkure,"Roche Tissue Diagnostics, Digital Pathology, Santa Clara, CA, USA."
Veerle Bossuyt,"Department of Pathology, Massachusetts General Hospital, USA."
Venkata Manem,"Bioinformatics and Computational Genomics Laboratory, Princess Margaret Cancer Center, Toronto, Canada."
Vincente Peg Cámaea,"Pathology Department, H.U. Vall d’Hebron, Barcelona, Spain."
Weida Tong,"Division of Bioinformatics and Biostatistics, U.S. Food and Drug Administration, USA."
Weijie Chen,"Division of Imaging, Diagnostics, and Software Reliability (DIDSR), Office of Science and Engineering Laboratories (OSEL), Center for Devices and Radiological Health (CDRH), Rockville, USA"
Wentao Yang,"Department of Pathology, Fudan University Cancer Center, China."
William T. Tran,"Department of Radiation Oncology, Odette Cancer Centre, Sunnybrook Research Institute, Toronto, Canada"
Yihong Wang,"Department of Pathology and Laboratory Medicine, Rhode Island Hospital and Lifespan Medical Center, Providence, USA."
Yinyin Yuan,"Division of Molecular Pathology, Centre for Evolution and Cancer, The Institute of Cancer Research, London, UK"
Yves Allory,"Université Paris-Est, Créteil, France."
Zaheed Husain,"Praava Health, Dhaka, Bangladesh"
Zsuzsanna Bago-Horvath,"Department of Pathology, Medical University of Vienna, Vienna, Austria"
Zuzana Kos,"Department of Pathology, BC Cancer Agency Vancouver Centre, Department of Pathology, Canada"
